iter	Logloss
0	0.5987733709
1	0.5229120523
2	0.4739349841
3	0.4315818027
4	0.4031599648
5	0.3870082029
6	0.373558466
7	0.3632706913
8	0.3523659319
9	0.3444844598
10	0.337926888
11	0.3329744469
12	0.3290467475
13	0.3258273919
14	0.3227396432
15	0.3196459857
16	0.3173931782
17	0.3158583109
18	0.3139588209
19	0.3123890813
20	0.3113789085
21	0.310400838
22	0.3089920247
23	0.3081743807
24	0.3071566052
25	0.3063047834
26	0.305311033
27	0.3042294833
28	0.3032948039
29	0.3023407557
30	0.3016768645
31	0.3011835754
32	0.3005638683
33	0.2998599518
34	0.2992853205
35	0.2986733024
36	0.2980437981
37	0.2975338447
38	0.2971461961
39	0.2967405802
40	0.2962868957
41	0.2958329079
42	0.2953126547
43	0.2948433639
44	0.2942532596
45	0.2937758179
46	0.2933978518
47	0.293004801
48	0.2924225681
49	0.2919669125
50	0.291411871
51	0.2910491584
52	0.2907048864
53	0.2902453506
54	0.2898263445
55	0.2894183406
56	0.2890178786
57	0.288607946
58	0.288172383
59	0.2878064779
60	0.2874253805
61	0.2869984931
62	0.2865285693
63	0.2860077469
64	0.2855103838
65	0.2852062789
66	0.2849052851
67	0.2845399499
68	0.284178584
69	0.28384354
70	0.2834827538
71	0.2829721786
72	0.2825283164
73	0.2821618785
74	0.2817148699
75	0.281356377
76	0.2810369869
77	0.2806912409
78	0.2803491527
79	0.2799557873
80	0.2795908379
81	0.2793088887
82	0.2789791266
83	0.2786156996
84	0.2782424991
85	0.2778672625
86	0.2774471298
87	0.2771347445
88	0.2768431171
89	0.2765737042
90	0.2762774423
91	0.2760484506
92	0.2757105857
93	0.2754791019
94	0.275062465
95	0.2746587737
96	0.2742734926
97	0.2740248883
98	0.2735755701
99	0.2732555542
100	0.2728908131
101	0.2726248489
102	0.2722359679
103	0.2719041155
104	0.271560162
105	0.2711433532
106	0.2707157043
107	0.270386761
108	0.2699320873
109	0.2695293071
110	0.2691100447
111	0.2687859593
112	0.2684663315
113	0.2680108863
114	0.2676096765
115	0.2670080464
116	0.2666641708
117	0.2662344629
118	0.2658894986
119	0.2656008808
120	0.2652300609
121	0.2648469089
122	0.2644854189
123	0.2640630598
124	0.2637948901
125	0.2633931869
126	0.2630326683
127	0.2626477992
128	0.2622628372
129	0.2618452886
130	0.2614834614
131	0.2610173006
132	0.2606639079
133	0.2603091256
134	0.259955562
135	0.2596235298
136	0.2592245234
137	0.2588544016
138	0.2584732691
139	0.2581096889
140	0.2578242196
141	0.2575377929
142	0.2571524588
143	0.2568654037
144	0.2565988834
145	0.2562686131
146	0.255878423
147	0.2556241413
148	0.2552114687
149	0.2549271806
150	0.2544757326
151	0.2541999514
152	0.2537973858
153	0.2533546756
154	0.2530155044
155	0.2525548363
156	0.252151957
157	0.2517690031
158	0.251431228
159	0.2511304162
160	0.2508203667
161	0.2504438195
162	0.2500452529
163	0.2496896031
164	0.2493281455
165	0.24904775
166	0.2486745431
167	0.2483709085
168	0.2481697397
169	0.2477947248
170	0.2475127862
171	0.247192629
172	0.2468631538
173	0.2464286055
174	0.2460504982
175	0.2457198131
176	0.2453768499
177	0.2449558011
178	0.2447043898
179	0.2443010143
180	0.2440185641
181	0.2437800939
182	0.2433622268
183	0.2429035971
184	0.2426324753
185	0.2423141805
186	0.2419970252
187	0.2417680821
188	0.2414368456
189	0.2411658213
190	0.2408714412
191	0.2405211626
192	0.2401445688
193	0.2398843717
194	0.2395658083
195	0.2393404526
196	0.2390342542
197	0.2387128724
198	0.2383223455
199	0.2379802733
200	0.2377031855
201	0.2373289783
202	0.2370122826
203	0.2367006282
204	0.2363501851
205	0.2360117339
206	0.2357379913
207	0.2354770747
208	0.2350464365
209	0.2347878935
210	0.2345169109
211	0.2342659389
212	0.2340135214
213	0.2337642603
214	0.2333867155
215	0.2331006197
216	0.23279878
217	0.2325013573
218	0.2322222081
219	0.2319298516
220	0.2316440984
221	0.2313561366
222	0.231057997
223	0.2307592365
224	0.2305371926
225	0.230180419
226	0.2299002659
227	0.2295726131
228	0.2292608992
229	0.228998121
230	0.2287578893
231	0.2283910168
232	0.2281717656
233	0.2279461024
234	0.227675588
235	0.2274771089
236	0.2270777044
237	0.2269131583
238	0.2266766321
239	0.2263717524
240	0.2261561635
241	0.2258664945
242	0.2255059166
243	0.225296052
244	0.2249512728
245	0.2246975548
246	0.2243270181
247	0.2241009291
248	0.2237977964
249	0.2235275784
250	0.223127483
251	0.2228539411
252	0.2224876811
253	0.2222134606
254	0.2219241565
255	0.2215501674
256	0.2212754846
257	0.2209537925
258	0.2206939016
259	0.2203853903
260	0.220047081
261	0.2196491387
262	0.2193215454
263	0.2191201153
264	0.2188612678
265	0.2185253824
266	0.2182912889
267	0.218027072
268	0.2176810887
269	0.2174842278
270	0.2171616319
271	0.2168469319
272	0.2165976246
273	0.2162386927
274	0.2160231953
275	0.2158296019
276	0.2155213956
277	0.2153132833
278	0.2151132384
279	0.21476244
280	0.2144566223
281	0.2142482281
282	0.2139841219
283	0.2137199429
284	0.2134908347
285	0.2132413816
286	0.2129740825
287	0.2125955963
288	0.2123033179
289	0.2119590603
290	0.2116773669
291	0.2114320138
292	0.211100646
293	0.2108601077
294	0.2107055587
295	0.2104334665
296	0.2101880528
297	0.2099012693
298	0.2095517646
299	0.2092640308
300	0.2090693007
301	0.2088658255
302	0.2086570459
303	0.2083533384
304	0.2081653324
305	0.2079026546
306	0.2075916707
307	0.2072991035
308	0.207134342
309	0.2069708775
310	0.2067087749
311	0.2064316134
312	0.2061347301
313	0.2057914477
314	0.2055408198
315	0.2052862831
316	0.2050588948
317	0.2047142291
318	0.204517282
319	0.2042019446
320	0.2038934575
321	0.2035952596
322	0.2033959864
323	0.2031643964
324	0.2029539486
325	0.2026310424
326	0.2024754794
327	0.2021494397
328	0.2019179613
329	0.2016252416
330	0.2012577791
331	0.2009361344
332	0.2007213029
333	0.2004930313
334	0.2002369504
335	0.2000167968
336	0.1997097626
337	0.199411465
338	0.1991652187
339	0.198944781
340	0.1986880972
341	0.198422798
342	0.1982604387
343	0.1979980477
344	0.1978035388
345	0.1976838986
346	0.1974478531
347	0.1971428839
348	0.1968529061
349	0.196653286
350	0.1964023575
351	0.1962176529
352	0.1960327601
353	0.195781045
354	0.1956166541
355	0.1953390509
356	0.195073719
357	0.194869499
358	0.194622834
359	0.1944413214
360	0.1941611222
361	0.1940101388
362	0.1938368295
363	0.1936639131
364	0.1934559138
365	0.1932362047
366	0.1930248308
367	0.1928237978
368	0.1926124405
369	0.1923608806
370	0.1921517661
371	0.1918620054
372	0.191700435
373	0.1915356787
374	0.1913001311
375	0.1910900783
376	0.1908047614
377	0.1906131021
378	0.1903508601
379	0.190086545
380	0.1898457633
381	0.1895239561
382	0.1893876036
383	0.1891225108
384	0.1888248822
385	0.1886732121
