iter	Passed	Remaining
0	57	57254
1	60	30148
2	62	20929
3	65	16310
4	68	13598
5	70	11750
6	73	10435
7	76	9439
8	79	8715
9	81	8098
10	84	7582
11	87	7177
12	90	6860
13	93	6570
14	96	6331
15	99	6111
16	102	5907
17	105	5732
18	108	5577
19	110	5425
20	113	5285
21	116	5168
22	119	5060
23	122	4966
24	124	4872
25	127	4792
26	131	4723
27	133	4646
28	136	4575
29	139	4511
30	142	4450
31	145	4397
32	148	4351
33	151	4299
34	154	4253
35	156	4203
36	159	4157
37	162	4115
38	165	4074
39	167	4029
40	170	3991
41	173	3968
42	176	3935
43	179	3903
44	182	3874
45	185	3842
46	188	3813
47	190	3783
48	193	3753
49	196	3731
50	199	3706
51	201	3681
52	205	3663
53	208	3644
54	210	3621
55	213	3599
56	216	3581
57	219	3561
58	222	3541
59	224	3518
60	227	3500
61	230	3486
62	233	3470
63	236	3452
64	238	3436
65	241	3417
66	244	3404
67	247	3388
68	249	3371
69	252	3356
70	255	3341
71	258	3326
72	261	3316
73	264	3304
74	266	3291
75	269	3279
76	272	3265
77	274	3250
78	277	3238
79	280	3224
80	282	3210
81	285	3200
82	288	3188
83	291	3177
84	294	3165
85	296	3153
86	299	3143
87	301	3129
88	304	3118
89	307	3107
90	309	3095
91	312	3086
92	315	3078
93	318	3068
94	321	3058
95	323	3050
96	326	3041
97	329	3033
98	332	3024
99	334	3014
100	337	3004
101	340	2995
102	342	2986
103	345	2979
104	348	2973
105	351	2966
106	354	2957
107	357	2950
108	360	2943
109	362	2935
110	365	2926
111	368	2917
112	370	2910
113	373	2901
114	376	2893
115	379	2888
116	381	2881
117	384	2874
118	387	2867
119	390	2865
120	393	2858
121	396	2852
122	398	2843
123	401	2835
124	404	2828
125	406	2822
126	409	2814
127	412	2809
128	415	2803
129	417	2797
130	420	2791
131	423	2786
132	426	2779
133	429	2775
134	432	2768
135	434	2762
136	437	2755
137	439	2748
138	443	2744
139	446	2739
140	448	2734
141	451	2729
142	454	2723
143	457	2717
144	459	2711
145	462	2706
146	465	2700
147	468	2696
148	471	2692
149	474	2686
150	476	2680
151	479	2675
152	482	2669
153	484	2663
154	487	2657
155	490	2653
156	493	2650
157	496	2645
158	499	2639
159	501	2634
160	504	2630
161	507	2623
162	509	2618
163	513	2615
164	515	2610
165	518	2605
166	521	2600
167	524	2596
168	526	2591
169	529	2587
170	532	2583
171	535	2579
172	538	2575
173	541	2571
174	544	2568
175	547	2564
176	550	2559
177	553	2555
178	556	2552
179	559	2547
180	562	2543
181	564	2538
182	567	2534
183	570	2529
184	574	2529
185	576	2524
186	580	2521
187	582	2517
188	586	2514
189	589	2512
190	592	2510
191	596	2508
192	598	2504
193	602	2501
194	604	2496
195	607	2492
196	610	2488
197	613	2483
198	616	2480
199	619	2477
200	622	2473
201	625	2470
202	628	2466
203	631	2463
204	634	2458
205	636	2455
206	639	2451
207	642	2446
208	645	2442
209	647	2437
210	650	2433
211	653	2430
212	657	2427
213	659	2423
214	662	2419
215	665	2415
216	668	2411
217	671	2407
218	673	2403
219	676	2398
